"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","Symbol","Chr","Type","CHP_115","CHP_118","CHP_137","CHP_198","CHP_69","IPF_182","IPF_202","IPF_92"
"Up","ENSG00000228705",6.72880067693426,"3.49e-04","LINC00659","20q13.33","lncRNA",2,2,2,2.31412704204778,2.80795861781523,2.88176276806099,8.03897981218289,5.08366913799598
"Up","ENSG00000142025",6.65406550159176,"1.32e-03","DMRTC2","19q13.2","protein_coding",2,2,2,2.31412704204778,2,3.42505678971066,6.33229961225645,3.75979197834748
"Up","AP003086.2",6.53590567249393,"1.17e-03",NA,"NANA",NA,2,2,2,2.31412704204778,2,4.05652979782797,6.11511316031126,3.54061967144169
"Up","AP003086.1",6.53581916692996,"9.17e-06",NA,"NANA",NA,2,2,2,2,3.210252800367,6.20824224608426,7.68354343812019,6.35121434233612
"Up","AL078604.2",6.50422978700252,"2.81e-06",NA,"NANA",NA,2.77409844906071,4.03337316543427,5.50466084677243,3.55879325357807,4.13036948749075,5.83504983723926,11.950505072578,7.54416277406442
"Up","ENSG00000163221",6.47948049542914,"4.36e-05","S100A12","1q21.3","protein_coding",4.66127254573856,3.95331610848774,5.24312708804737,2.57193721229046,7.42764025143485,7.00796410759273,13.5276327693576,9.62445784812028
"Up","ENSG00000283222",6.41912377735379,"1.49e-02","MIR4433A","2p14","miRNA",2,2,2,2,2.24814995706144,3.17883446736827,6.27050625095378,2.21300445082179
"Up","ENSG00000232517",6.41603452123726,"3.94e-04","CSPG4BP","5q11.2","unitary_pseudogene",2.77409844906071,2,2,2.57193721229046,2.24814995706144,3.03793156486001,8.06347936872922,4.16998578948398
"Up","AP003086.3",6.41395182272772,"2.66e-06",NA,"NANA",NA,2,2.52801522067815,2.55627638201547,2,3.08820854636368,6.31897262515701,8.42192463233634,5.05633697970062
"Up","AC093281.2",6.36797498147033,"4.31e-03",NA,"NANA",NA,2,2.73371540412585,2,2,2,3.81879987635943,7.17758792441594,2.96687130559948
"Up","ENSG00000163421",6.35956209389921,"6.19e-10","PROK2","3p13","protein_coding",4.57793568529172,5.08967600734406,5.44358666254871,3.97052596653264,6.96425910364896,9.10334349095768,12.6869694558871,11.9131714742679
"Up","AC007278.2",6.28538838770486,"1.71e-04",NA,"NANA",NA,2.43835729225606,2.52801522067815,2.55627638201547,4.29046754977374,3.210252800367,6.08830120183346,10.1958991125729,2.56296144511946
"Up","ENSG00000224187",6.26926954383749,"5.05e-03","LINC01991","3q27.3","lncRNA",2,2.28803016573722,2,2,2,2.88176276806099,5.91424778186763,3.95001724498577
"Up","AC123912.2",6.23950949202257,"5.49e-08",NA,"NANA",NA,2,3.34868810203856,2,2.31412704204778,3.85900088565143,7.60937050580183,8.95126994472002,7.64851589311291
"Up","AC096970.1",6.22695054826338,"3.21e-03",NA,"NANA",NA,2,2.28803016573722,2,2,2,3.03793156486001,5.61604612131676,4.56853935815858
"Up","AC007278.1",6.12723004785184,"6.27e-04",NA,"NANA",NA,3.04626863185575,3.07372442305504,2.55627638201547,5.87011927444386,2.80795861781523,6.78359801472546,11.4337990450885,3.3735063862995
"Up","AC005050.3",6.12625441169655,"4.45e-07",NA,"NANA",NA,2.77409844906071,3.95331610848774,3.74517065500652,2.31412704204778,5.6595082205177,8.41384004856861,11.0188695965406,9.31130993776856
"Up","ENSG00000167434",6.11741165856657,"3.26e-06","CA4","17q23.1","protein_coding",2.77409844906071,2.28803016573722,2.55627638201547,2.79058642038188,2.45981581789212,3.81879987635943,8.35898926710147,6.31707564834475
"Up","ENSG00000233431",6.09023876156038,"5.01e-04","LINC02596","1p36.12","lncRNA",2.43835729225606,2,2.55627638201547,2,2.95487788397373,3.42505678971066,8.06347936872922,4.60672289618046
"Up","ENSG00000169429",6.00905780645765,"1.36e-06","CXCL8","4q13.3","protein_coding",8.35673893463143,11.4308953267111,10.743677644681,8.46879983295819,12.6595630440084,14.4253193439936,18.3994026957199,16.3027576387242
"Up","ENSG00000007350",5.96981114888742,"1.43e-04","TKTL1","Xq28","protein_coding",2,2.91371332595402,2.55627638201547,2.31412704204778,3.210252800367,3.03793156486001,8.68136069235089,5.72799271175947
"Up","ENSG00000124102",5.92333331271982,"5.36e-05","PI3","20q13.12","protein_coding",7.58098930152068,6.44436041878424,6.67040917531133,6.9276289534901,11.0658115634852,11.3822046598061,16.2311585882789,13.9728703139771
"Up","ENSG00000230257",5.91554551191826,"2.75e-05","NFE4","7q22.1","lncRNA",3.04626863185575,2.28803016573722,2,3.87807812530629,4.4605839095935,5.26857061096474,10.0019775528562,7.73724719829889
"Up","AC018755.5",5.86488412568447,"7.13e-05",NA,"NANA",NA,2,2.28803016573722,2,2.31412704204778,3.08820854636368,4.38214894074859,7.62713438683442,5.63867234479689
"Up","ENSG00000186652",5.82525637607361,"6.59e-03","PRG2 ENSG00000186652","11q12.1","protein_coding",2,2,2.55627638201547,2.31412704204778,2.24814995706144,3.30719205923251,6.74959373394341,2.56296144511946
"Up","ENSG00000101187",5.81910047881639,"1.12e-08","SLCO4A1","20q13.33","protein_coding",4.18605844258646,4.10922033902029,5.0921235595274,4.05740482354101,4.84670243617456,6.76135899801872,11.3138393701138,9.12490386472408
"Up","ENSG00000123689",5.7641411497884,"1.23e-06","G0S2","1q32.2","protein_coding",7.11814165517587,6.97701159415491,8.75216606816242,7.15148537096313,10.3891521289748,11.7305104366577,15.6945300117855,13.7756603574258
"Up","ENSG00000283646",5.73800223732459,"5.55e-06","LINC02009","3p21.31","lncRNA",3.04626863185575,2.91371332595402,2.55627638201547,2,3.210252800367,4.99125591795789,8.61246491736892,6.25831887597734
"Up","ENSG00000225873",5.73583628298544,"3.35e-07","C3orf86","3p21.31","transcribed_unitary_pseudogene",2.43835729225606,2.73371540412585,2.95675405242379,3.1481503929349,3.42714915313468,4.78625707255398,8.82441124318798,7.40483083677463
"Up","ENSG00000063015",5.68033948456374,"2.64e-04","SEZ6","17q11.2","protein_coding",2,2,2.95675405242379,2.79058642038188,2.45981581789212,3.72997457345804,7.63532911994442,5.30882297465416
"Up","ENSG00000268433",5.67341731652778,"9.70e-04","MTDHP3","19p12","processed_pseudogene",2.43835729225606,2,2,2,2.24814995706144,4.87178257757807,4.60112794115396,4.78380917135596
"Up","AC123567.2",5.67230029877758,"8.10e-03",NA,"NANA",NA,2.43835729225606,2.28803016573722,2,2.31412704204778,2,2.50722396959903,6.60687477564129,3.54061967144169
"Up","ENSG00000202016",5.65896984407377,"2.74e-02","RNU6-619P","2q36.1","snRNA",2.43835729225606,2,2,2,2.24814995706144,3.30719205923251,6.04302584199534,2.21300445082179
"Up","AL121899.4",5.64016036963812,"3.60e-07",NA,"NANA",NA,3.47264509453741,2.73371540412585,3.26987519304848,3.1481503929349,3.85900088565143,5.1015875822309,9.49455181779891,7.50931161419566
"Up","AC073127.1",5.62313552332912,"3.04e-02",NA,"NANA",NA,2,2.28803016573722,2,2,2.24814995706144,2.2757893937672,6.04302584199534,2.96687130559948
"Up","AL136961.1",5.5986143174532,"2.33e-02",NA,"NANA",NA,2,2,2,2,2.95487788397373,2.70661366552027,6.90679347570528,3.61743666153096
"Up","ENSG00000269220",5.58854561963386,"6.23e-07","LINC00528 ENSG00000269220","22q11.21","lncRNA",3.80133403523869,4.6561139678513,4.83108620830733,5.74483021586157,6.00132025651877,7.79597447516221,12.0245148495958,8.72583096536088
"Up","AC113208.2",5.54486935479429,"1.41e-04",NA,"NANA",NA,2.43835729225606,2.28803016573722,2,3.1481503929349,3.210252800367,5.1015875822309,8.36392912915091,4.26855077088713
"Up","ENSG00000105707",5.48768156970367,"2.51e-05","HPN","19q13.11","protein_coding",3.04626863185575,2.52801522067815,2.95675405242379,3.87807812530629,3.42714915313468,4.49427208592631,9.39188401943483,5.92218433257022
"Up","ENSG00000115590",5.43540571362376,"1.08e-04","IL1R2","2q11.2","protein_coding",6.84271343932532,7.23577909176544,6.55964553246312,6.07140610064288,9.91765510264683,9.49231698744265,14.9493827720986,11.7182217050717
"Up","ENSG00000252908",5.43154465274153,"1.12e-04","RNU6-1003P","5p15.1","snRNA",3.80133403523869,3.07372442305504,3.26987519304848,3.1481503929349,3.210252800367,5.60463902618402,9.50800253092144,3.28208138511507
"Up","AC020636.1",5.41557210267027,"5.15e-02",NA,"NANA",NA,2.77409844906071,2,2,2,2.24814995706144,2,6.41077749607853,3.75979197834748
"Up","ENSG00000112299",5.41538085887636,"1.47e-05","VNN1","6q23.2","protein_coding",6.91240858353714,6.33803695741409,7.23636184955499,4.6671430389971,7.00698896461793,7.74588496116526,13.4820711570882,9.62678236653237
"Up","ENSG00000103196",5.40752448730979,"1.03e-04","CRISPLD2","16q24.1","protein_coding",6.02392974539614,3.86855422439193,3.52700828563143,3.97052596653264,6.86554604684371,7.26666767943672,12.179301477646,8.72366079831174
"Up","AC015871.5",5.37041379688298,"1.27e-03",NA,"NANA",NA,2,3.34868810203856,2.55627638201547,2,5.023602797167,6.28819300097117,9.46726822679243,7.34960879505641
"Up","ENSG00000115009",5.35654661360773,"6.62e-06","CCL20","2q36.3","protein_coding",4.48948817193118,6.8278461112873,5.96204360964411,6.0503785118425,7.21082355408465,6.77252135750776,12.7728146697837,11.3360773355574
"Up","ENSG00000186105",5.34578589585229,"1.41e-05","LRRC70","5q12.1","protein_coding",3.27515136931785,4.7538768542985,3.26987519304848,3.1481503929349,3.210252800367,5.62940817806596,9.93052246640794,6.40637612209888
"Up","AL031658.1",5.34310334885246,"2.27e-03",NA,"NANA",NA,2,2,3.26987519304848,4.29046754977374,2.80795861781523,4.54722666451788,9.07089393744089,5.4202224855794
"Up","ENSG00000112303",5.3042121758964,"8.54e-08","VNN2","6q23.2","protein_coding",7.98038162999444,8.07708454723947,7.69517687049609,7.88603636826341,8.8111638129825,9.84538617002331,14.6735623926351,12.5656995110496
"Up","ENSG00000157551",5.28160041722962,"7.55e-07","KCNJ15","21q22.13","protein_coding",7.77120259939515,7.18410279276209,6.64350526179496,6.38868893813068,8.99857669361801,10.1705489764184,14.2216157079389,11.978105958507
"Up","AL356234.1",5.27831304913558,"8.41e-05",NA,"NANA",NA,3.47264509453741,2.28803016573722,2.55627638201547,2.57193721229046,3.08820854636368,4.32264073243637,8.36392912915091,5.33180166305895
"Up","ENSG00000276858",5.26501861024864,"5.33e-06","FCAR","CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1","protein_coding",3.47264509453741,5.56408912027179,3.74517065500652,3.87807812530629,6.34563484247353,7.65230243522015,11.2552262503802,9.67475155483898
"Up","ENSG00000105835",5.26122472935821,"1.12e-06","NAMPT","7q22.3","protein_coding",11.4775485293839,12.9480796626465,11.8809287734185,10.5219597146365,13.0403265509839,14.7422134457834,18.8529291617563,15.8876492869865
"Up","ENSG00000008056",5.25641127429221,"2.36e-04","SYN1","Xp11.23","protein_coding",3.04626863185575,2.52801522067815,2.95675405242379,2,2.45981581789212,3.17883446736827,7.0362095967364,6.82604600039479
"Up","ENSG00000280908",5.23112876796589,"1.18e-04","PADI4","CHR_HG2095_PATCH","protein_coding",6.05507962808961,2.91371332595402,4.10208130258064,5.2864863016497,5.21070942140365,6.20824224608426,11.5693497561067,7.76283623599061
"Up","ENSG00000105501",5.17684433174968,"3.13e-05","SIGLEC5","19q13.41","protein_coding",2.77409844906071,5.12664607795158,2.95675405242379,2.980417700991,5.42754204514763,6.93035354534471,10.3369804231538,8.5605838653539
"Up","ENSG00000163464",5.17680498841162,"6.43e-07","CXCR1","2q35","protein_coding",4.95347943386613,5.87777041531203,6.20221031048248,6.26636947056587,8.24931722369044,9.43726839866675,12.2646496453528,12.5066561713768
"Up","ENSG00000116741",5.16844664922451,"2.24e-07","RGS2","1q31.2","protein_coding",8.49945132046223,8.55164301947171,8.46772350823934,7.52365421179578,10.0815543391961,11.6787947090152,15.2724344915724,12.8998641429368
"Up","ENSG00000253556",5.16657484357634,"3.46e-04","MTCO1P4","8q22.3","processed_pseudogene",2,2.73371540412585,2.95675405242379,2.980417700991,2.24814995706144,6.19170632269758,7.35677056949978,3.28208138511507
"Up","AL132986.1",5.15418243685115,"2.17e-02",NA,"NANA",NA,2,2,2,2,3.42714915313468,3.17883446736827,6.86559120949684,5.56300773697353
"Up","ENSG00000229644",5.14993742497701,"2.53e-05","NAMPTP1","10p11.21","processed_pseudogene",3.80133403523869,5.01276626560113,6.04662004500689,3.87807812530629,7.00698896461793,7.6340592475259,11.9143428251765,9.94259234322532
"Up","ENSG00000253977",5.14501180010093,"4.25e-02","MTCO2P4","8q22.3","processed_pseudogene",2,2,2.95675405242379,2,2.24814995706144,4.26057193503485,5.96714620627965,2.21300445082179
"Up","AC007032.1",5.13622612706873,"3.26e-06",NA,"NANA",NA,3.94128821420188,5.56408912027179,4.38797486954844,5.25006264627207,7.08085138599556,8.72951895543133,11.9105496420884,9.60454674549199
"Up","ENSG00000278195",5.07745567180999,"8.64e-05","SSTR3","22q13.1","protein_coding",2,2,2.95675405242379,3.1481503929349,2.80795861781523,5.1015875822309,7.29603869462212,5.79566947868074
"Up","ENSG00000170439",5.07287051459107,"9.72e-05","METTL7B","12q13.2","protein_coding",4.0688581338087,3.86855422439193,5.31308781887658,2.980417700991,6.79901914733302,6.87963743470833,10.9548300817897,10.4142826643564
"Up","ENSG00000186469",5.04457899901497,"1.26e-05","GNG2","14q22.1","protein_coding",7.73318883257327,7.56694081623104,7.27193062713106,8.7938065968473,9.31994222253781,9.69949974587574,14.7883050873375,11.5431538228533
"Up","ENSG00000182885",5.04170432010619,"1.65e-06","ADGRG3","16q21","protein_coding",6.6316313794758,5.4808743814549,7.10447504556944,8.14599070483861,8.5901082423548,9.71114916014958,13.5559684232352,12.4333552999044
"Up","ENSG00000139572",5.02525127429028,"2.90e-04","GPR84","12q13.13","protein_coding",4.81476141359699,5.85591941065532,6.82207761197854,6.81992482818684,9.09283329583666,8.38503898038362,13.7643686017203,11.0785927527637
"Up","ENSG00000188404",5.02341940255027,"8.84e-06","SELL","1q24.2","protein_coding",7.90544831345261,7.81360191443288,6.00495151384335,6.95050922694504,9.41502790428916,10.019453550902,14.2605450885184,12.3002486284343
"Up","AC022001.2",5.01243954832173,"8.37e-02",NA,"NANA",NA,2,2,2,2.980417700991,2,3.42505678971066,6.27050625095378,2.21300445082179
"Up","ENSG00000101188",5.00369743646249,"4.34e-03","NTSR1","20q13.33","protein_coding",2,2.28803016573722,3.52700828563143,2.980417700991,5.15099674500051,4.32264073243637,9.54761821905244,6.66347144766724
"Up","ENSG00000134070",4.97463083315428,"9.21e-08","IRAK2","3p25.3","protein_coding",7.68421827155917,7.29381788270692,8.33108287810204,7.88603636826341,9.14350532303398,10.609969973134,14.3303487362546,12.4326911739128
"Up","ENSG00000253795",4.9620868076277,"2.42e-03","MTND1P5","8q22.3","processed_pseudogene",2,2.73371540412585,3.52700828563143,2,2.95487788397373,5.50107738351215,7.68354343812019,3.54061967144169
"Up","ENSG00000264764",4.94487713287267,"3.79e-02","MIR4772","2q12.1","miRNA",2.43835729225606,2.28803016573722,2,2.57193721229046,2,3.42505678971066,6.27050625095378,2.21300445082179
"Up","ENSG00000269119",4.92350475595408,"1.31e-04","HNRNPA1P52","19q13.2","processed_pseudogene",2.77409844906071,2.73371540412585,3.52700828563143,2,3.32277319823317,4.9127162466299,8.05739337344596,5.72799271175947
"Up","ENSG00000078401",4.91917347420769,"5.19e-04","EDN1","6p24.1","protein_coding",4.88578703383945,6.59705820839124,6.43966545615528,4.42724802693642,4.687690093739,5.65375924448203,12.0033015525633,7.74154368117109
"Up","ENSG00000042832",4.91058214238475,"7.39e-06","TG","8q24.22","protein_coding",4.81476141359699,3.77849980431032,5.0921235595274,5.32201297038412,5.3499982145017,6.12359951998403,10.9799838342845,8.61076668171255
"Up","ENSG00000100906",4.90490972821512,"1.01e-05","NFKBIA","14q13.2","protein_coding",11.0643819517772,11.5385518079234,11.5785070600478,11.1230270382114,12.7177981835951,13.0807610352747,18.0485655716313,14.7733578665402
"Up","ENSG00000180871",4.90132754207952,"2.68e-08","CXCR2","2q35","protein_coding",6.50199267861597,8.16856232380862,7.14340312897079,7.3190926885767,8.66406271303771,10.3301532255948,13.420871557076,12.7495857140794
"Up","ENSG00000215196",4.89990799313252,"7.13e-05","BASP1-AS1","5p15.1","lncRNA",3.04626863185575,3.34868810203856,3.26987519304848,2.79058642038188,3.93177632922701,4.74151468964851,8.92477050131116,5.63867234479689
"Up","AC116366.1",4.89802736758712,"1.43e-04",NA,"NANA",NA,5.13936005255364,6.35371424114911,6.30879483061861,5.45596826323994,5.08870546905718,8.18235770102172,12.0396438724344,5.76222789814468
"Up","ENSG00000126262",4.86786401958854,"1.99e-05","FFAR2","19q13.12","protein_coding",6.6723787349615,7.27747224645872,6.67040917531133,7.93848029607168,9.94648051420862,10.790336573791,14.2527429276648,12.6157077427402
"Up","AL450468.2",4.85605930776958,"1.54e-03",NA,"NANA",NA,2,3.95331610848774,4.25209833823773,2.31412704204778,3.70141479345852,4.19571224143429,9.04344526831704,6.58913016376501
"Up","ENSG00000162747",4.85516201799809,"1.91e-04","FCGR3B","1q23.3","protein_coding",6.65214891054072,8.1905533451403,7.437700849053,7.69602612600039,10.97510279729,11.6946517114509,15.1713162443934,12.9420093740819
"Up","ENSG00000236438",4.848330427214,"1.64e-04","FAM157A","3q29","transcribed_unprocessed_pseudogene",4.66127254573856,2.52801522067815,3.52700828563143,3.1481503929349,5.29588552850204,6.46372928246498,10.0019775528562,7.02244356388755
"Up","AC022217.3",4.825470608032,"1.03e-04",NA,"NANA",NA,2.77409844906071,4.31542037604701,3.52700828563143,3.29839723699651,3.93177632922701,6.05211753518169,9.37485518718868,4.94151579936815
"Up","ENSG00000277334",4.81755574923659,"4.84e-03","NCR1","CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1","protein_coding",3.27515136931785,2.28803016573722,2,2,3.08820854636368,3.42505678971066,7.26468633209872,5.26173757692737
"Up","ENSG00000174697",4.81533847467488,"6.23e-05","LEP","7q32.1","protein_coding",3.47264509453741,3.77849980431032,2,2.31412704204778,2.24814995706144,7.23473899721528,6.94685163591488,5.84442184404858
"Up","AC130454.1",4.81335186095756,"3.26e-03",NA,"NANA",NA,2,3.07372442305504,3.74517065500652,4.61080446356251,3.70141479345852,5.57943718138702,9.42061666581912,3.75979197834748
"Up","ENSG00000177464",4.79793614388827,"9.76e-02","GPR4","19q13.32","protein_coding",3.27515136931785,2,2,2,2,2.2757893937672,6.37207210586219,3.69036943968028
"Up","ENSG00000148926",4.79327180931192,"3.96e-05","ADM","11p15.4","protein_coding",6.25611142835971,6.61017067327428,5.67375148040782,5.845916817009,8.71134016565352,9.03314721777996,13.0759303238912,11.119195993408
"Up","AC026124.1",4.77839847854347,"2.27e-02",NA,"NANA",NA,2.77409844906071,2,2,2.57193721229046,2.45981581789212,3.53401529334692,6.63983252080559,2.56296144511946
"Up","AL133163.1",4.77714085803606,"1.81e-02",NA,"NANA",NA,2,2.28803016573722,2,2.31412704204778,2.64436331118535,3.03793156486001,6.11511316031126,3.61743666153096
"Up","ENSG00000126251",4.76815909657135,"4.31e-03","GPR42","19q13.12","protein_coding",2,2.28803016573722,2.95675405242379,2.57193721229046,2.80795861781523,3.17883446736827,7.1319840463918,4.16998578948398
"Up","AC116353.6",4.7679784936567,"1.39e-04",NA,"NANA",NA,2.43835729225606,3.07372442305504,3.93463503475508,3.55879325357807,3.7823584188517,4.54722666451788,8.92477050131116,6.09331105555469
"Up","ENSG00000125740",4.76145178836878,"7.72e-06","FOSB","19q13.32","protein_coding",9.53076800482508,9.89811730565346,10.7919471088758,9.64375505203324,9.10468580237126,13.1774900237353,16.0165895196796,11.2913533984337
"Up","ENSG00000142512",4.76051882454785,"3.35e-05","SIGLEC10","19q13.41","protein_coding",7.83540779774024,6.95662347377703,7.68201656985245,8.92378237581193,9.35840173706075,9.8921910486366,14.5365782201162,11.363167459047
"Up","ENSG00000118503",4.74966610163931,"8.25e-06","TNFAIP3","6q23.3","protein_coding",10.4600661795927,11.190183258728,11.7834034850783,11.8271149790629,11.4797967025924,12.9006049459641,17.5640877631499,14.3134378938276
"Up","ENSG00000123610",4.73306631536873,"1.16e-04","TNFAIP6","2q23.3","protein_coding",5.95953662773601,8.48913764915081,7.68201656985245,6.42181359586693,10.1744558117212,10.7142299105529,14.1671075821751,13.2065930386432
"Up","ENSG00000059728",4.72797143278027,"9.21e-08","MXD1","2p13.3","protein_coding",10.3900271072232,10.6393395353992,10.5435770351842,9.98169978160522,10.9756407493838,12.7604718511462,16.4952361272918,14.2069190746371
"Up","ENSG00000196611",4.71785377946297,"7.06e-04","MMP1","11q22.2","protein_coding",5.01813749452398,5.19785997597092,5.24312708804737,2,4.95542291110072,6.87963743470833,10.6737662700701,7.50931161419566
"Up","AC112255.1",4.71046210931594,"3.69e-04",NA,"NANA",NA,2,2.91371332595402,3.93463503475508,2.31412704204778,4.60108888203873,6.20824224608426,8.48676495491127,7.2445480487868
"Up","ENSG00000125538",4.70361948417814,"9.89e-05","IL1B","2q14.1","protein_coding",8.70490809727633,10.4725616241637,10.878136993989,9.90763422496619,12.135512378536,12.003186746379,16.8607849851917,14.2962448119844
"Up","AC123595.2",4.70169353800453,"3.40e-02",NA,"NANA",NA,2,2.28803016573722,2,2.31412704204778,2.80795861781523,2.50722396959903,6.35232291168591,3.3735063862995
"Up","ENSG00000227502",4.69530616669463,"2.30e-05","MROCKI","6q21","lncRNA",3.27515136931785,4.49580077309621,2.55627638201547,5.0527244200217,3.70141479345852,6.4359166464558,9.5627352430531,7.56370613422827
"Up","ENSG00000157017",4.68674600613308,"2.23e-05","GHRL","3p25.3","protein_coding",3.04626863185575,3.46872736378401,4.25209833823773,4.61080446356251,4.00105630185405,5.81359579223228,9.57130295180926,6.71681671392191
"Up","AP000944.5",4.6735417393746,"7.13e-05",NA,"NANA",NA,2.43835729225606,3.57954144227762,3.74517065500652,3.29839723699651,3.5244805232603,4.43929948542755,8.60830791450599,6.54064317878518
"Up","ENSG00000180316",4.66947252455522,"9.17e-06","PNPLA1","6p21.31","protein_coding",4.39526199276335,4.70582335405519,4.92344704113772,5.66407761300655,5.29588552850204,6.4359166464558,10.8843814902143,8.2037587850397
"Up","ENSG00000258819",4.65034736078262,"1.31e-04","LINC02289","14q24.3","lncRNA",3.80133403523869,3.77849980431032,2.55627638201547,2.79058642038188,4.72911621018191,5.26857061096474,9.13875605822831,7.07786262338264
"Up","AC006369.1",4.64462864998984,"5.52e-04",NA,"NANA",NA,3.27515136931785,3.57954144227762,5.61956047634088,5.74483021586157,5.72240068227079,7.62176768811337,11.0413993948955,6.09331105555469
"Up","ENSG00000265432",4.61786224368915,"1.13e-02","MIR4308","14q22.2","miRNA",2.43835729225606,2.91371332595402,2.55627638201547,3.55879325357807,3.210252800367,4.32264073243637,8.16885290997071,2.21300445082179
"Up","ENSG00000187479",4.58241861098002,"1.41e-03","C11orf96","11p11.2","protein_coding",2.77409844906071,2.28803016573722,3.93463503475508,3.67325441973311,2.64436331118535,3.98155631638142,8.29835270807642,5.44150615086574
"Up","ENSG00000283597",4.56152859069019,"2.34e-02","FAM169B","15q26.3","transcribed_unitary_pseudogene",2,2.73371540412585,2,2,2.45981581789212,3.42505678971066,5.64879736830945,4.22010986195126
"Up","ENSG00000231105",4.53699819050463,"7.39e-03","ECE1-AS1","1p36.12","lncRNA",2.43835729225606,2.28803016573722,2,4.05740482354101,3.42714915313468,3.63531948879507,8.08756981647772,5.37668936736172
"Up","SLED1",4.53119036396563,"3.34e-03",NA,"NANA",NA,3.80133403523869,7.00706351441014,7.38993859026205,6.97303229081741,5.45249064706765,8.13557458170948,12.5598149517479,6.05239448008565
"Up","AC024267.6",4.52349547928441,"2.78e-02",NA,"NANA",NA,2,2,2,2.57193721229046,2.80795861781523,2.88176276806099,5.32323765867083,5.37668936736172
"Up","ENSG00000120949",4.51882999889711,"8.19e-06","TNFRSF8","1p36.22","protein_coding",4.39526199276335,3.46872736378401,3.74517065500652,4.77362072349228,4.98991557822127,5.7918178860443,9.62578617245464,8.41754621366719
"Up","AC013451.2",4.49067500479673,"2.57e-02",NA,"NANA",NA,2,2.28803016573722,2,2.57193721229046,2.45981581789212,2.70661366552027,5.68082158902358,4.31541789439529
"Up","ENSG00000115594",4.48330419639823,"1.71e-04","IL1R1","2q11.2","protein_coding",9.81633251557387,8.93964497360975,9.25258049467205,7.33656837534052,9.33846386400133,10.2723508880785,15.0478754570524,11.204927009483
"Up","ENSG00000185201",4.48152050937641,"8.41e-05","IFITM2","11p15.5","protein_coding",9.01320372972786,9.15178916866338,8.98430709783049,8.43674849300192,11.4533899982052,11.3899263117169,15.4548862783045,13.9417593586949
"Up","ENSG00000188056",4.48066746947886,"6.70e-03","TREML4","6p21.1","protein_coding",3.94128821420188,2.28803016573722,2.95675405242379,2,2.64436331118535,6.6447113126013,7.09680948179691,3.1844683387856
"Up","ENSG00000008516",4.46498865352735,"6.62e-06","MMP25","16p13.3","protein_coding",5.78473208437557,5.23219066836567,6.84587497177041,7.70277998577445,7.2469238348113,8.79666607720354,12.281064408609,10.8594009915763
"Up","ENSG00000174885",4.46024026805841,"4.35e-06","NLRP6","11p15.5","protein_coding",3.27515136931785,2.91371332595402,4.38797486954844,4.49106388321135,4.50895536945189,6.05211753518169,8.84575580257586,8.33749636572799
