"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","Symbol","Chr","Type","NSIP_73","NSIP_117","NSIP_122","NSIP_173","NSIP_179","NSIP_187","NSIP_197","NSIP_203","NSIP_80","NSIP_63","NSIP_81","NSIP_82","NSIP_84","NSIP_93","CHP_115","CHP_118","CHP_137","CHP_198","CHP_69"
"Up","AL157371.2",5.70504749130107,"7.79e-03",NA,"NANA",NA,2,4.14118600757208,2.48121636789189,4.35099185390347,4.84407828124969,2.70827847479553,2.92685283489056,4.09999684464124,4.01908099471761,4.09446081428474,3.8407506404059,3.38140261100133,2.69890480186909,6.6169244250042,2,2,2,2,2.2420349737961
"Up","ENSG00000112077",5.6979799103122,"9.91e-02","RHAG","6p12.3","protein_coding",2.80780279273712,2,3.36942762319977,2,2,5.06952267002047,8.86225183340035,2.28586258253548,2,6.46111629867907,2.84354197473076,3.76885039117692,2.55331531310185,3.38699191369574,2,2,2,2,2
"Up","ENSG00000167612",5.680744870855,"3.08e-02","ANKRD33","12q13.13","protein_coding",3.0880160730632,4.43684219244571,2,3.65078423810094,3.52249256044252,2,2,3.34140101252482,3.43095580202561,5.00154436515208,4.06274385845751,3.68130130157578,2,6.84254333337343,2,2,2,2.31153553045869,2
"Up","ENSG00000196946",5.62641345206596,"3.00e-02","ZNF705A","12p13.31","protein_coding",2.95470196070524,3.26581518929046,2,3.04964569335544,4.06484095284785,2.88372853841526,2,5.41171291983563,2,4.91481907225827,3.37233958645946,3.58809414281976,2,4.98601665683052,2,2,2,2,2
"Up","ENSG00000224187",5.6116950750727,"7.71e-03","LINC01991","3q27.3","lncRNA",2.64423241048815,4.63626470776878,2,2.91967150228589,4.35623209935946,2.70827847479553,2,4.24042497859804,4.43569724379289,4.24424870113517,5.02680940525745,3.68130130157578,3.16770737562586,6.10041259765002,2,2.27159735132948,2,2,2
"Up","AC123912.2",5.59494450078637,"1.70e-03",NA,"NANA",NA,3.52424344321276,5.65973810577164,2,6.88430018993697,4.84407828124969,4.91644180699797,6.71322726996138,8.53975384297202,6.86580984075873,6.36625166347039,9.02785514924326,4.93007745609259,2.95226502145557,9.93341336804469,2,3.29278496364758,2,2.31153553045869,3.83075643930685
"Up","ENSG00000280623",5.51346606709077,"9.87e-02","PCAT14","22q11.23","lncRNA",3.21004646181012,2.850116084711,2,2,2.24766867985293,2,2,2,2.42142591237103,5.61042951757707,5.57575908215268,4.26675247478949,3.66968542607465,2.94339221751932,2,2,2,2,2
"Up","ENSG00000105509",5.39897785975714,"9.70e-03","HAS1","19q13.41","protein_coding",3.21004646181012,5.03980758319251,2,3.47683219747485,5.32045212100616,2,3.48658491274927,3.06742864668279,4.48023480022916,5.16076599771063,3.8407506404059,4.20530944343541,2.83113954030535,3.5089808715609,2,2,2.54920970231779,2,2
"Up","ENSG00000168903",5.34816283494877,"4.08e-02","BTNL3","5q35.3","protein_coding",2.80780279273712,2.67986016680653,2,4.58338267193808,2.24766867985293,2,2,2.52434248610076,4.52343850869764,5.61042951757707,2.99498723319878,4.00352261982112,2.95226502145557,2.54747183869422,2,2,2,2,2
"Up","ENSG00000250334",5.34793406018909,"9.82e-02","LINC00989","4q21.21","lncRNA",3.78210066065279,2.2638294624759,2.48121636789189,2,2,2.50849851191223,2.92685283489056,2,2,6.07776325751833,3.37233958645946,4.26675247478949,3.35511784244577,3.25372725253966,2,2,2,2,2
"Up","ENSG00000233705",5.32820633850068,"8.41e-02","SLC26A4-AS1","7q22.3","lncRNA",4.00078368246965,3.00238385668607,2.48121636789189,2,2,2,2,2.28586258253548,2.59347411391593,6.60655442629338,4.19378006790203,4.89158663218113,3.86746406099896,2.75897122940172,2,2,2,2.31153553045869,2
"Up","ENSG00000259496",5.32403676420908,"6.57e-02","GEMIN8P1","15q23","processed_pseudogene",2.95470196070524,2.48678951327912,2,2,2.80665226567374,2,2.92685283489056,4.30582503878125,4.48023480022916,3.52052361142553,3.2571844819332,3.58809414281976,2,5.56630055826532,2,2,2,2,2
"Up","ENSG00000253314",5.32249482294915,"4.84e-02","LINC00293","8q11.1","lncRNA",3.93150817621049,2.48678951327912,2,2.44007388495817,2.95340296373014,2,2,3.21090860830932,2.42142591237103,6.60655442629338,2.6743139638276,4.72645057230919,3.52095830797644,4.36560874689225,2,2.27159735132948,2,2,2
"Up","AC010980.1",5.30994710698779,"1.02e-02",NA,"NANA",NA,3.0880160730632,5.46376297793567,2,4.1336954104063,5.11748988784767,2.2765376877092,3.48658491274927,4.64600942788717,4.86317242656837,4.09446081428474,3.37233958645946,4.00352261982112,3.66968542607465,7.05773448380936,2,2,2,2,2.63038590899679
"Up","ENSG00000187621",5.29714717740507,"9.87e-02","TCL6","14q32.13","lncRNA",4.41023913819521,2.2638294624759,2.48121636789189,2,2,2.50849851191223,3.48658491274927,2,2,6.60655442629338,3.75845282593583,4.81138007188031,2.83113954030535,3.25372725253966,2.4151809554186,2,2,2,2
"Up","ENSG00000252712",5.27066392183976,"2.88e-02","SCARNA14","15q22.31","scaRNA",6.62305422052933,2.67986016680653,2,2.23675208435155,3.2085227471739,2.2765376877092,2,2.28586258253548,2.74717352052991,4.09446081428474,5.99058672896792,5.74850617329362,6.49203810474528,8.31213492677343,2,2.69726755193135,2.54920970231779,2,2.44923842815315
"Up","AC108925.1",5.24626437068207,"9.87e-02",NA,"NANA",NA,3.32255507491554,2,2,2,2.45898451326376,2.50849851191223,4.46090538446508,2.52434248610076,2,5.8158480546663,2.84354197473076,4.4892844864411,2.83113954030535,2.54747183869422,2,2,2,2,2
"Up","ENSG00000221716",5.23652431004306,"3.94e-02","SNORA11","Xp11.21","snoRNA",10.7019154606137,4.48934108573763,5.49747474837797,3.47683219747485,5.05383977091551,3.4277539382621,2,2.28586258253548,4.89641928302556,6.11714031144384,12.8442074866384,9.67568215929985,12.4424458581725,11.3286244760489,5.9074260924307,3.02553785538067,5.5429426666196,5.2008414221868,5.34098711019521
"Up","ENSG00000169427",5.23436697860753,"5.88e-02","KCNK9","8q24.3","protein_coding",3.93150817621049,2.48678951327912,2.84144198263627,2.23675208435155,2.64326598141232,2,2,2,2.22604640628046,5.49559713797087,3.47897863635701,4.89158663218113,2.83113954030535,3.62145426928154,2,2,2,2,2
"Up","ENSG00000142025",5.19212048078912,"2.45e-02","DMRTC2","19q13.2","protein_coding",3.93150817621049,2.850116084711,2,3.27899292554561,3.2085227471739,2.2765376877092,2,3.85983742587693,2.59347411391593,6.19280978095719,3.37233958645946,4.26675247478949,2.55331531310185,4.65706976756232,2,2,2,2.31153553045869,2
"Up","ENSG00000163217",5.16137255094976,"6.11e-02","BMP10","2p13.3","protein_coding",3.32255507491554,2,2,2.77681788052171,2.64326598141232,2,2.92685283489056,2.90808723573932,3.43095580202561,5.86293721726316,2.26136541807285,4.14113275547235,2.95226502145557,2.94339221751932,2,2,2,2,2
"Up","ENSG00000283408",5.14897582138716,"2.42e-02","MIR548A1HG","6p22.3","lncRNA",2.45971664333802,3.00238385668607,2.48121636789189,3.16887197449894,3.08659480420566,2,2,4.30582503878125,2.42142591237103,5.00154436515208,3.37233958645946,4.14113275547235,2.39136742908851,4.299520016016,2,2,2,2,2
"Up","AP003086.1",5.12968806643576,"1.89e-02",NA,"NANA",NA,3.21004646181012,5.00416916778747,2,5.02387206649903,5.52206458014534,2.70827847479553,2,7.55517755470676,5.27066193167167,5.99563036481296,3.99247430315052,2.67983429016789,3.66968542607465,7.27105461450935,2,2,2,2,3.18815888694033
"Up","ENSG00000163395",5.11334260388707,"9.42e-02","IGFN1","1q32.1","protein_coding",5.45216043266337,2,2,4.40056133561784,2.64326598141232,2,2,2.28586258253548,2.22604640628046,8.03295661517676,4.42478149490757,6.89206182541961,3.52095830797644,4.36560874689225,2,2,2.54920970231779,2.31153553045869,2
"Up","AL713852.1",5.10931255839826,"4.36e-02",NA,"NANA",NA,4.46028652386315,3.38144504177915,2,2.23675208435155,2.24766867985293,2,2,2.7289365333587,3.33721302639341,5.86293721726316,4.19378006790203,4.72645057230919,3.73866848412232,3.62145426928154,2,2,2,2.31153553045869,2
"Up","ENSG00000243316",5.10817116307889,"6.62e-02","GUCY2GP","10q25.2","transcribed_unitary_pseudogene",3.32255507491554,2.48678951327912,2.48121636789189,2.61824871947425,2.24766867985293,2,2,2.28586258253548,2.22604640628046,5.8158480546663,2.99498723319878,4.43678604764411,2.39136742908851,3.62145426928154,2,2,2,2,2
"Up","ENSG00000259905",5.10426680724584,"7.46e-02","PWRN1","15q11.2","lncRNA",5.34967044453821,2.48678951327912,2,2,2.45898451326376,2.70827847479553,2,2.28586258253548,2.42142591237103,8.27848689093697,3.2571844819332,6.0575238598053,3.92779187864471,4.23025785836497,2,2,2.54920970231779,2,2
"Up","ENSG00000274575",5.09761701547954,"6.84e-02","IGLV1-40","CHR_HSCHR22_1_CTG3","IG_V_gene",4.50865580659761,3.38144504177915,2.84144198263627,2,2.24766867985293,3.04013649734454,5.66841592226075,2.90808723573932,2,2,7.83311138523816,2.48676979197031,5.28181820398008,5.91422294763458,2.73719511714325,2,2,2,2.44923842815315
"Up","ENSG00000197587",5.05991068118937,"7.39e-02","DMBX1","1p33","protein_coding",3.93150817621049,2,2,2.44007388495817,2.64326598141232,2,2.92685283489056,2.28586258253548,2.22604640628046,5.37082796553429,3.37233958645946,4.53993943857972,2.83113954030535,3.5089808715609,2,2,2,2,2
"Up","AC016134.1",5.02054791494711,"6.94e-02",NA,"NANA",NA,2.64423241048815,2.48678951327912,2.48121636789189,2,2.64326598141232,2,2,4.17191885059889,3.43095580202561,4.91481907225827,3.2571844819332,3.38140261100133,2.55331531310185,6.11969162104225,2,2,2,2.31153553045869,2
"Up","AC091173.1",5.00470092616306,"3.84e-03",NA,"NANA",NA,3.42692088996166,5.03980758319251,2,3.47683219747485,4.45808988661479,3.30975308668396,4.67959170187267,5.7539169366532,4.68437198351807,5.71679177387389,5.22368947985254,4.43678604764411,3.26445362034477,7.13556154446869,2,2.27159735132948,2.94603295875775,2,2.2420349737961
"Up","AP003086.2",4.99691096852581,"4.76e-02",NA,"NANA",NA,3.78210066065279,2.2638294624759,2,3.7304789884037,2.95340296373014,2,2,5.38169528362164,3.12920189558449,4.82254510043833,2.99498723319878,3.00234936863905,2.55331531310185,5.14500551509873,2,2,2,2.31153553045869,2
"Up","ENSG00000234177",4.99421317136469,"9.87e-02","LINC01114","2q12.1","lncRNA",3.85873766114919,2,2.48121636789189,2.23675208435155,2.24766867985293,2.50849851191223,2.92685283489056,2,2.22604640628046,5.76716990506078,2.48256452207878,4.26675247478949,2.69890480186909,2.29955080764403,2,2,2,2,2
"Up","ENSG00000033122",4.97074090934577,"7.19e-02","LRRC7","1p31.1","protein_coding",5.7014041899727,3.48849106290288,2.48121636789189,2.23675208435155,2,2,3.48658491274927,2,3.51897726942964,8.48824504520226,5.02680940525745,6.04003298890232,4.58163478238373,3.91423300216417,2,2,2,2.56759973468583,2
"Up","ENSG00000267241",4.96055552367742,"5.01e-02","CYP4F10P","19p13.12","unprocessed_pseudogene",2.24809253460728,2,2,3.16887197449894,2.80665226567374,2.70827847479553,5.76720345666598,2.7289365333587,3.01274866225231,4.09446081428474,2.6743139638276,3.1400662817663,2.39136742908851,3.10688813456609,2,2,2,2,2
"Up","ENSG00000136011",4.93070928028901,"4.14e-02","STAB2","12q23.3","protein_coding",5.42721240987432,3.00238385668607,2.84144198263627,2,2.64326598141232,2.70827847479553,4.67959170187267,2,2.42142591237103,7.71138939892531,4.47718234561605,5.85236628145864,4.0413692382476,4.70890841634328,2,2,2,2.56759973468583,2.63038590899679
"Up","ENSG00000148795",4.91168650679737,"7.55e-03","CYP17A1","10q24.32","protein_coding",3.42692088996166,3.00238385668607,3.1294546816786,4.62568433980701,4.24663288086745,3.18123402530264,2,4.83509358197345,6.58910662990043,4.3799372497622,3.67117485124727,5.23685694072605,4.42301451240397,7.06769558342088,2,2.69726755193135,2,2,2.44923842815315
"Up","ENSG00000207181",4.90020575036055,"2.28e-02","SNORA14B","1q42.3","snoRNA",12.1646935808215,4.48934108573763,7.61194936817819,4.53980310086761,5.54539479496996,5.42210976239847,4.46090538446508,3.34140101252482,5.3921822179771,8.41113503954852,12.5989574434315,11.9919543116974,12.6797978933111,12.8497755862426,5.84183597207294,5.33832742740703,7.04293272140945,6.53447037159613,5.6656450471892
"Up","ENSG00000211668",4.81253252781477,"6.57e-02","IGLV2-11","22q11.22","IG_V_gene",2.95470196070524,2.2638294624759,3.36942762319977,2,3.42523516475451,5.42210976239847,3.88883978309556,2.90808723573932,2,2.55310280165477,7.97652687462496,2.85008542308516,5.37143071077738,5.72577832587557,2,2,2,2.56759973468583,2.79130455228682
"Up","ENSG00000206634",4.77135006987579,"1.58e-02","SNORA22","7q11.21","snoRNA",9.84024404261646,3.00238385668607,2.84144198263627,5.41009585012139,4.88122547601635,4.60189296578986,2,4.36838851511077,5.34479519070607,7.41224540335243,10.9389285813159,9.43762719916818,10.7657495339064,11.0898583414759,4.22284323546407,5.08017513773239,3.25692109635143,3.42610111552981,5.60196267332505
"Up","ENSG00000274497",4.74437909572314,"6.91e-02","IGHG2","CHR_HSCHR14_3_CTG1","IG_C_gene",5.2677228390512,4.96762804205005,3.57511891247999,2.44007388495817,2.95340296373014,3.7329763081603,8.89539083149521,3.67418476361089,2.22604640628046,2.55310280165477,10.3510541278352,3.2657749642242,9.38727323072219,8.83963823174437,2.4151809554186,2,2.94603295875775,3.42610111552981,4.98933295085203
"Up","AL513166.1",4.6958633030745,"7.39e-02",NA,"NANA",NA,3.78210066065279,3.26581518929046,2.48121636789189,2.44007388495817,2.80665226567374,2,2,2.28586258253548,2.59347411391593,6.22920642371148,5.06154558540162,4.58887599233653,4.2914415637614,3.25372725253966,2.73719511714325,2,2,2,2
"Up","ENSG00000204792",4.6466154401537,"7.97e-02","LINC01291","2p12","lncRNA",6.29101027157408,2.48678951327912,2.84144198263627,2.77681788052171,2,2.70827847479553,2,2.28586258253548,2.42142591237103,6.88271695978176,2.6743139638276,4.85204066523872,4.09497183727674,3.10688813456609,2.4151809554186,2.27159735132948,2.54920970231779,2,2
"Up","ENSG00000169429",4.62991929964373,"1.70e-03","CXCL8","4q13.3","protein_coding",11.957329160076,16.2197807567713,9.16919501901444,14.6514132340876,16.6332702890233,13.6816750532518,12.0799502076573,16.3247947426386,15.6899050747114,13.228698059365,14.6070127505828,13.5611994161156,12.4284853642189,18.4761053825822,8.26735282999183,11.3378025145436,10.7215266872748,8.4556566280994,12.6204468781296
"Up","AC005050.3",4.59378997702452,"1.63e-03",NA,"NANA",NA,4.46028652386315,9.15244396316844,3.36942762319977,7.58739326506641,9.02903962260798,6.87342517196956,5.76720345666598,9.86325103026284,8.66658326827865,6.03728121232902,8.14390386313397,5.96786854323635,6.19344053511442,10.5104855682775,2.73719511714325,3.88474141388223,3.72962650806738,2.31153553045869,5.62350398156862
"Up","ENSG00000163421",4.58350171418658,"2.70e-04","PROK2","3p13","protein_coding",6.22015725759772,10.4756125757004,4.61987340601491,7.25823294442269,9.93463649301276,8.22784799868609,9.35846212721674,12.046100586978,10.1708044231748,7.93719578151949,10.2744664279727,8.27889601837535,7.09547029524393,11.813114049403,4.50297284804075,5.00771285110366,5.42343858788653,3.96063573599544,6.9263888394048
"Up","AC006369.2",4.5574024929119,"9.87e-02",NA,"NANA",NA,2,3.68134869351099,2,4.85634665862178,4.06484095284785,2,2,4.17191885059889,3.75478234396833,3.73820121851557,2.84354197473076,3.2657749642242,2.39136742908851,6.9433675840171,2,2,2.54920970231779,2.31153553045869,2.2420349737961
"Up","ENSG00000285231",4.50721428159894,"8.54e-02","OOSP3","11q12.1","protein_coding",2.24809253460728,2.48678951327912,2,3.7304789884037,2.64326598141232,2,2.92685283489056,3.85983742587693,2.59347411391593,4.91481907225827,2.84354197473076,2.85008542308516,2.55331531310185,5.10687053921595,2,2,2.54920970231779,2,2
"Up","ENSG00000250739",4.45946778909463,"8.86e-02","LINC01262","4q35.2","lncRNA",2,3.92951109715736,2.48121636789189,3.47683219747485,4.72652806670296,2,2.92685283489056,5.00224288666227,2.59347411391593,2.55310280165477,3.75845282593583,3.00234936863905,2.20891425678992,5.44926149754577,2,2.27159735132948,2,2,2.2420349737961
"Up","ENSG00000124233",4.42909710209553,"7.39e-02","SEMG1","20q13.12","protein_coding",2.95470196070524,4.43684219244571,2,2.61824871947425,4.30247299945392,2,3.48658491274927,3.67418476361089,3.82553299775459,4.91481907225827,3.13203418602529,2.85008542308516,2,5.18215836829206,2,2,2,2.31153553045869,2.2420349737961
"Up","AC073172.1",4.35929230637201,"1.45e-02",NA,"NANA",NA,3.32255507491554,4.43684219244571,2.48121636789189,3.87776526762969,3.61360551609229,3.18123402530264,2.92685283489056,5.35103978600738,4.99179604721902,4.91481907225827,5.77728345888885,5.32615420770837,2.39136742908851,7.56629735908414,2,2,2.94603295875775,2.31153553045869,2.79130455228682
"Up","ENSG00000175967",4.35449394337249,"6.54e-02","LINC02880","6q21","lncRNA",2.64423241048815,3.26581518929046,2,2.91967150228589,3.08659480420566,2,3.48658491274927,3.76999536675474,2.59347411391593,4.72396361496047,2.84354197473076,3.68130130157578,2.20891425678992,4.36560874689225,2,2,2,2,2.2420349737961
"Up","AC233300.1",4.34578807831824,"3.94e-02",NA,"NANA",NA,3.32255507491554,3.58814010177253,2.48121636789189,2.23675208435155,2.64326598141232,3.04013649734454,2.92685283489056,4.0243003540513,3.23695315934768,3.92730004646024,3.918606090364,3.2657749642242,2.69890480186909,5.72577832587557,2,2,2.54920970231779,2,2.2420349737961
"Up","ENSG00000283597",4.33350578559216,"3.00e-02","FAM169B","15q26.3","transcribed_unitary_pseudogene",3.32255507491554,3.76889904734596,2,3.16887197449894,2.64326598141232,2.2765376877092,4.46090538446508,5.22145653012574,3.51897726942964,6.7386643049464,4.37040539734243,5.03974709378142,3.06400405593602,4.70890841634328,2,2.69726755193135,2,2,2.44923842815315
"Up","AC007271.1",4.31239735659426,"4.06e-03",NA,"NANA",NA,4.88354623920217,7.12564251086165,4.19007146746883,8.08104134136246,8.27101094609541,6.50857427637679,6.38022615001625,10.8326764135677,7.51667945095156,6.36625166347039,7.73967856820598,6.55293121704124,3.44041972291822,9.28392853502986,2,4.41954330758391,2.94603295875775,3.7698897035029,5.41696975498329
"Up","ENSG00000201643",4.26827038071832,"2.02e-02","SNORA14A","7q11.23","snoRNA",11.1272634286868,3.14010389948505,4.70992612369496,4.89144417009256,4.45808988661479,5.60858163406823,4.46090538446508,4.09999684464124,4.86317242656837,6.94968549863936,10.7117636269479,11.2048499227609,10.4474859545456,9.68267425856678,4.32238710433171,5.45192249990865,5.35975700943925,5.73253210220078,4.61222763067991
"Up","AP003086.3",4.25609265960269,"9.81e-03",NA,"NANA",NA,5.42721240987432,4.32574037715424,2.48121636789189,6.31496558682687,4.91744014804099,2.50849851191223,2.92685283489056,7.0536947209584,5.21903513057395,5.43456093940098,3.75845282593583,3.48844674188388,2.95226502145557,5.86936881768784,2,2.50007519411096,2.54920970231779,2,3.06760982104945
"Up","AC022498.1",4.24788771947695,"3.08e-02",NA,"NANA",NA,2.95470196070524,6.64842972112175,2,3.7304789884037,5.99846249442543,3.90561959497827,2.92685283489056,6.72356511038607,5.68636269692019,3.52052361142553,6.52644422188471,5.10848644115052,3.52095830797644,8.57214006801285,2,3.02553785538067,2,2,3.9029977848894
"Up","ENSG00000198723",4.24635757806132,"4.03e-02","TEX45","19p13.2","protein_coding",4.00078368246965,2.67986016680653,2,2.61824871947425,2.64326598141232,2.88372853841526,4.46090538446508,3.34140101252482,2.74717352052991,4.91481907225827,3.75845282593583,4.14113275547235,2.69890480186909,4.48934330947258,2,2.27159735132948,2,2,2.2420349737961
"Up","ENSG00000282447",4.22994917787589,"5.01e-02","IGKV3-15","CHR_HG2290_PATCH","IG_V_gene",3.52424344321276,2.48678951327912,3.1294546816786,2.44007388495817,2.24766867985293,3.98476511770226,5.94654262676607,2.52434248610076,2.22604640628046,3.52052361142553,8.24558962712036,3.48844674188388,5.86355860022729,5.77524687340364,3.0002868980162,2.27159735132948,2,2.31153553045869,2.93606185743491
"Up","ENSG00000179915",4.19339824121512,"7.55e-03","NRXN1","2p16.3","protein_coding",5.59341526459447,3.92951109715736,2.84144198263627,3.16887197449894,3.78019695121866,3.53682874916745,5.03720545299587,3.34140101252482,3.8929755931893,8.61743780391901,6.23841482795784,6.67126695888487,5.73439778909703,5.62144195249889,3.22272030012652,2.27159735132948,2.94603295875775,2.56759973468583,2.93606185743491
"Up","ENSG00000282633",4.17694760474285,"2.44e-02","IGHA1","CHR_HSCHR14_3_CTG1","IG_C_gene",5.52451594796448,5.03980758319251,3.91511574534017,2.44007388495817,4.06484095284785,7.13865392308436,9.28534093522599,4.30582503878125,3.12920189558449,3.2640641662689,9.02345691952406,5.41024501268697,8.84622732026043,8.85409904043996,4.66344817651365,2.27159735132948,2,3.96063573599544,4.03745756653679
"Up","ENSG00000211598",4.15851861141765,"9.32e-02","IGKV4-1","2p11.2","IG_V_gene",2.95470196070524,3.38144504177915,3.36942762319977,2,2.64326598141232,4.38562122058979,6.85473636955948,2.52434248610076,2,3.52052361142553,8.53232316765368,2.85008542308516,6.89095801727231,5.3869774233814,2.4151809554186,2,2,2.31153553045869,2.93606185743491
"Up","AC079163.2",4.15571221184649,"7.65e-02",NA,"NANA",NA,2.45971664333802,3.48849106290288,2,3.87776526762969,4.55322807901695,2.2765376877092,2.92685283489056,2.28586258253548,3.60193580467777,5.55415554733156,3.37233958645946,3.1400662817663,2.95226502145557,2.94339221751932,2.4151809554186,2,2.54920970231779,2,2
"Up","ENSG00000163464",4.12531015133325,"1.97e-03","CXCR1","2q35","protein_coding",8.60094689014131,9.98087936587273,6.17189248544765,7.71042151539042,9.11341542355256,8.26002245739379,9.37421999463659,11.74639515136,10.8864184441616,9.01670155781937,10.8323292881463,9.60458359836196,8.53569231479129,13.6641232346707,4.87496463320575,5.7910748773767,6.18122218523504,6.25376931151486,8.21069799075909
"Up","ENSG00000073756",4.12436471753819,"1.63e-03","PTGS2","1q31.1","protein_coding",7.77745879298094,11.4768386343905,6.7191224494657,9.72408776933831,11.3118124559015,9.40783086902862,10.9481188933206,12.7033262841249,9.78903551983926,9.3622354565592,10.7889373630511,8.4174214268364,7.90446502775785,13.8735414783847,5.58548843684287,7.97581237905947,6.9594666342213,6.63585655270505,7.69430601508435
"Up","ENSG00000109158",4.12258169745031,"4.82e-02","GABRA4","4p12","protein_coding",4.41023913819521,3.38144504177915,3.1294546816786,3.80600088904652,3.42523516475451,4.2639718374511,2,2.7289365333587,2.88606345487949,6.71319243928192,2.6743139638276,5.32615420770837,3.35511784244577,2.29955080764403,2,2.27159735132948,2.54920970231779,2.56759973468583,2
"Up","ENSG00000063015",4.1049747490455,"7.79e-03","SEZ6","17q11.2","protein_coding",4.88354623920217,4.43684219244571,2.48121636789189,3.27899292554561,3.92952763452835,2.88372853841526,4.86945094062197,5.31971872881278,4.52343850869764,5.16076599771063,4.47718234561605,4.81138007188031,3.16770737562586,7.18215419309186,2,2,2.94603295875775,2.78499274186215,2.44923842815315
"Up","BX255923.2",4.10302091136762,"1.89e-02",NA,"NANA",NA,4.30461401648177,4.85209999109154,2,6.49689468521606,3.52249256044252,3.30975308668396,2,2.90808723573932,5.24507945175354,6.99266424856593,7.55088544502934,4.63620692101387,3.5972375497459,6.84254333337343,2.73719511714325,2.87071944409578,2,2.78499274186215,2.93606185743491
"Up","ENSG00000036828",4.09222546974921,"9.87e-02","CASR","3q13.33","protein_coding",4.35839301299687,3.14010389948505,2.84144198263627,2.61824871947425,3.2085227471739,2,2,2.28586258253548,2.59347411391593,6.68726275341125,3.99247430315052,5.38275576984684,3.52095830797644,4.299520016016,2,2.27159735132948,2,2,2.79130455228682
"Up","ENSG00000204345",4.05326949280803,"5.13e-02","CD300LD ENSG00000204345","17q25.1","protein_coding",3.32255507491554,3.26581518929046,2,3.38130116292134,2.45898451326376,3.63823347071757,3.48658491274927,5.31971872881278,2.74717352052991,4.3799372497622,2.6743139638276,3.8513892122412,2.83113954030535,5.2881996111958,2,2.50007519411096,2,2.31153553045869,2
