"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","Symbol","Chr","Type","NSIP_73","NSIP_117","NSIP_122","NSIP_173","NSIP_179","NSIP_187","NSIP_197","NSIP_203","NSIP_80","NSIP_63","NSIP_81","NSIP_82","NSIP_84","NSIP_93","IPF_182","IPF_202","IPF_92"
"Up","ENSG00000197616",6.57233092025843,"6.42e-02","MYH6","14q11.2","protein_coding",4.25837893425759,2.27962952404498,2,2,2.26068828249103,2,2,2,2.24076954699737,6.92005647241316,4.57850311190786,5.48074664996188,3.81350885706401,3.28148059985997,2,2,2
"Up","ENSG00000111218",6.55604467220194,"2.37e-02","PRMT8","12p13.32","protein_coding",4.53118584368033,4.76018781257016,3.62636927522772,2.25235071303328,3.57555502839953,3.08028247486459,2.96515226467177,2,4.87907785525663,6.6041179738019,7.09096205469995,5.36691642868438,5.28073854910719,4.11727199874549,2.28410037084381,2,2
"Up","AC106897.1",6.40059582535089,"4.97e-02",NA,"NANA",NA,4.19703174090782,2.27962952404498,2.50331830210367,2.25235071303328,2,2.29029464815903,2,2,2.62748389653321,6.11887208587092,5.63922913737715,4.91916323197049,4.63170660645736,3.53995003267867,2,2,2
"Up","ENSG00000166473",6.39913589670935,"7.64e-02","PKD1L2 ENSG00000166473","16q23.2","polymorphic_pseudogene",5.13229017026824,2,2,2.25235071303328,2,2,2.96515226467177,2,2,7.5741491374282,4.81850821069963,6.56417315686258,4.176624684642,4.0357108280482,2,2,2.21349274652398
"Up","ENSG00000100433",6.38449804927999,"6.10e-02","KCNK10","14q31.3","protein_coding",3.92166683266627,2,2,2.96770860128258,2,2.53184805551954,2,2.76054666914731,2,6.7707184922074,3.75637651047303,5.33699800000622,3.81350885706401,3.13251281674557,2,2,2
"Up","ENSG00000278801",6.34901092007994,"6.68e-02","IGHD","CHR_HSCHR14_3_CTG1","IG_C_gene",2.26205555421484,2.89183327351249,3.97169646135579,2,2,2.53184805551954,4.5264063487638,5.32534637689347,2,2,2.89910112519778,2,4.32881874119187,6.51980667334525,2,2,2
"Up","ENSG00000143473",6.33285311520193,"4.85e-02","KCNH1","1q32.2","protein_coding",3.76138446399819,2.27962952404498,2.50331830210367,2,2.26068828249103,2.53184805551954,2.96515226467177,2,3.29453679788181,6.54401623129827,4.15691908703721,5.0355017252828,4.70772689937669,2.3085712000615,2,2,2
"Up","ENSG00000186198",6.31090930561479,"4.22e-02","SLC51B","15q22.31","protein_coding",2.48374838898409,4.89073729995514,2.50331830210367,2,2.84173207925936,2.29029464815903,2,2.30027309215264,4.64778896128536,2.99448840961288,6.2924452744814,3.64036309417449,4.84871236965025,3.41649592913784,2,2,2
"Up","ENSG00000163873",6.29937980481617,"9.55e-02","GRIK3","1p34.3","protein_coding",4.31722353835936,2,2,2,2,2,2,2,2.24076954699737,6.38180094657299,3.84587581432371,5.84196202279102,3.66886036335252,3.28148059985997,2,2,2
"Up","ENSG00000152467",6.25163489638938,"4.72e-02","ZSCAN1","19q13.43","protein_coding",3.67402985456735,3.54841104275185,2,2,3.36982998454896,2.53184805551954,2,2,3.82485701756484,4.16134229352311,5.95299854163435,3.42972534973826,5.63240299254289,3.53995003267867,2,2,2
"Up","ENSG00000178473",6.21159667319833,"5.35e-02","UCN3","10p15.1","protein_coding",3.92166683266627,4.45721226629272,2,2,3.25480622776968,2.29029464815903,2,2,4.87907785525663,3.79947476045818,8.07889977864419,3.9079196026164,7.61822676890998,5.29627824987798,2.28410037084381,2,2
"Up","ENSG00000135577",6.19637414667643,"4.22e-02","NMBR","6q24.1","protein_coding",3.84375041131145,3.91856966577119,2,2.46706319417919,2.48140256247077,2.53184805551954,2,2.30027309215264,3.58392848819135,4.57576478400349,6.32393789324652,2.70949607783665,4.84871236965025,2.56263180969811,2,2,2
"Up","ENSG00000152779",6.19328804346384,"4.87e-02","SLC16A12","10q23.31","protein_coding",3.92166683266627,3.04922343122273,3.41677511362933,2,2.26068828249103,2.73869869445858,2,2,2.24076954699737,6.41573600530545,4.29044404356822,4.50038758413864,4.12210344654054,3.53995003267867,2,2,2
"Up","ENSG00000171877",6.17954220236965,"5.59e-02","FRMD5","15q15.3","protein_coding",5.1646967681563,2.71514603056515,2.87573304495846,2,2.48140256247077,2,2,2,2.4470454608871,6.2749263378517,3.93014575339394,4.79261381503152,3.66886036335252,2.77858002903295,2,2,2
"Up","ENSG00000234665",6.14313850991917,"3.34e-02","LERFS","9q13","lncRNA",4.84293234267623,5.4093557232264,3.41677511362933,3.10224038515562,2.67278775214458,2.73869869445858,3.94740757811338,2.54868811505941,2.62748389653321,7.32907940487261,3.19997414129679,5.30644596384918,3.66886036335252,3.28148059985997,2.28410037084381,2,2
"Up","AC021683.3",6.11469508563539,"4.22e-02",NA,"NANA",NA,3.84375041131145,2.89183327351249,2.50331830210367,2.65392136802693,2.26068828249103,2,2.96515226467177,2.94524056321531,2.62748389653321,6.38180094657299,3.93014575339394,5.07228588384362,3.12011877141097,2.56263180969811,2,2,2
"Up","ENSG00000164690",6.11305255858094,"4.35e-02","SHH","7q36.3","protein_coding",3.67402985456735,4.51233531153081,3.41677511362933,2,3.36982998454896,2,2,2.30027309215264,4.98215681349549,5.31199202137577,6.85265529081382,3.98710978950638,5.79806454980817,4.33747395727283,2,2.35967353075619,2
"Up","ENSG00000259905",6.09099011527167,"5.32e-02","PWRN1","15q11.2","lncRNA",5.42762205073555,2.5137598066657,2,2,2.48140256247077,2.73869869445858,2,2.30027309215264,2.4470454608871,8.3641286821419,3.32974444117907,6.13060589119965,4.00646094376747,4.26774211750473,2,2,2
"Up","ENSG00000274839",6.08427533978862,"4.26e-02","PRB4","CHR_HSCHR12_3_CTG2","protein_coding",2.67586855428415,5.69793558637391,6.87715364055374,2.81932934102204,7.05667768455053,7.87050336480981,3.53830925783272,2.76054666914731,4.03124954081406,2,6.77502748798591,2.27708527360642,2,3.28148059985997,2,2,2.56411054329195
"Up","AC025774.1",6.07378129527961,"4.53e-02",NA,"NANA",NA,3.76138446399819,4.76018781257016,2.87573304495846,2,3.83780270217427,3.35627345533443,2,2,2.93214729939327,6.2749263378517,6.91602271989538,4.32858986993366,4.59213954429702,3.41649592913784,2,2,2.21349274652398
"Up","ENSG00000178645",6.07172975867984,"4.77e-02","C10orf53","10q11.23","protein_coding",3.76138446399819,3.74532958689302,2.50331830210367,2,2.48140256247077,2.29029464815903,2,2,2.78784292048878,5.74466418781583,5.23768775516829,4.20152495814125,4.27984987900406,3.75907289273111,2,2,2
"Up","ENSG00000249781",6.06367846322904,"7.83e-02","LINC02112","5p15.2","lncRNA",3.76138446399819,2.27962952404498,2,2,2.26068828249103,2,2,2,2.24076954699737,6.6041179738019,3.75637651047303,4.65388709950961,3.81350885706401,2.77858002903295,2,2,2
"Up","ENSG00000143869",6.06218118898021,"4.06e-02","GDF7","2p24.1","protein_coding",4.84293234267623,2.5137598066657,2.87573304495846,2.25235071303328,2.48140256247077,3.35627345533443,2.96515226467177,2,2.24076954699737,5.89658520194526,4.22522577195585,4.65388709950961,3.66886036335252,3.28148059985997,2,2,2
"Up","AC072026.2",6.06026916210527,"6.10e-02",NA,"NANA",NA,3.25960551560914,3.32030090373899,2,2,2.26068828249103,2.53184805551954,2,2,2.24076954699737,6.34704840018325,4.77359549853444,4.44536383967442,4.00646094376747,2.77858002903295,2,2,2
"Up","ENSG00000083067",6.05644685823841,"6.35e-02","TRPM3","9q21.13","protein_coding",5.09913887805694,2.5137598066657,2,2,2.26068828249103,2.29029464815903,2,2,2.24076954699737,8.04440482544107,4.72723955359533,6.02197607813447,4.32881874119187,3.53995003267867,2,2,2
"Up","ENSG00000019505",6.05402678708222,"6.91e-02","SYT13","11p11.2","protein_coding",3.37489409606968,2,2.50331830210367,2,3.36982998454896,2.29029464815903,2,2,2,5.94386708637019,5.09894286604384,4.9589942652003,4.00646094376747,3.13251281674557,2,2,2
"Up","AL137018.1",6.04974803660888,"4.66e-02",NA,"NANA",NA,3.58104310308973,3.32030090373899,2.50331830210367,2,2.99295015299667,2,2.96515226467177,2.54868811505941,3.06332117327356,5.84770107485511,5.80462723024898,3.31162515668913,2.87838829439902,2.77858002903295,2,2,2
"Up","ENSG00000223519",6.04388494108278,"5.02e-02","KIF28P","1q44","transcribed_unitary_pseudogene",5.13229017026824,2.89183327351249,3.41677511362933,2.25235071303328,2,2.29029464815903,2,2.30027309215264,2.24076954699737,5.98964843466949,3.75637651047303,4.87820121399645,3.12011877141097,2.77858002903295,2,2,2
"Up","ENSG00000168676",6.03196011516524,"7.07e-02","KCTD19","16q22.1","protein_coding",4.0659091460829,3.04922343122273,2,2,2,2.29029464815903,2,2,2.24076954699737,6.15949648004918,4.29044404356822,5.07228588384362,3.59070698905857,3.28148059985997,2,2,2
"Up","ENSG00000238755",6.02330858638695,"4.53e-02","LINC02006","3q25.2","lncRNA",3.58104310308973,2.71514603056515,4.25012204710402,2,3.25480622776968,2.53184805551954,2,2,3.29453679788181,6.23746658826966,3.84587581432371,4.06217844302941,3.74299670737285,2.77858002903295,2,2,2
"Up","ENSG00000196119",6.01441606984148,"8.06e-02","OR8A1 ENSG00000196119","11q24.2","protein_coding",3.58104310308973,2,4.37147550095145,2,2,2,2,3.10895087110678,2.93214729939327,6.31143800568842,2,4.74783755963818,3.00431050919825,3.65366763789285,2,2,2
"Up","AC008703.1",6.01240001890137,"5.44e-02",NA,"NANA",NA,2.48374838898409,3.32030090373899,2.50331830210367,2,2.67278775214458,2.53184805551954,2,2,2.93214729939327,5.57484177895166,5.99273115030077,3.64036309417449,4.06544058356791,2.3085712000615,2,2,2
"Up","ENSG00000288134",5.99479503742989,"2.89e-02","PTPN20CP","CHR_HG1277_PATCH","unprocessed_pseudogene",3.25960551560914,5.08506927758177,3.17146965084859,2.81932934102204,3.98941226864818,3.08028247486459,2.96515226467177,2.30027309215264,5.13910593084885,4.99034085457125,6.75205868562387,3.42972534973826,5.17757924749712,3.28148059985997,2.28410037084381,2,2
"Up","ENSG00000257501",5.98770052673718,"5.87e-02","PAFAH1B2P2","12q23.1","transcribed_processed_pseudogene",4.0659091460829,3.04922343122273,2,2,2.67278775214458,2.29029464815903,2,2,2.4470454608871,6.2749263378517,4.22522577195585,4.32858986993366,3.94496696857019,2.96637299483117,2,2,2
"Up","AC012101.2",5.98639328515787,"5.05e-02",NA,"NANA",NA,2.84538515825795,3.19111964002649,2,2,2.84173207925936,3.08028247486459,2,2,3.18355605042243,5.31199202137577,5.02422311087675,4.79261381503152,4.84871236965025,3.28148059985997,2,2,2
"Up","ENSG00000146966",5.97605209790759,"5.75e-02","DENND2A","7q34","protein_coding",4.42816758448784,2.27962952404498,2,2,2.48140256247077,2.29029464815903,2,2.30027309215264,2.4470454608871,6.31143800568842,3.84587581432371,4.65388709950961,2.87838829439902,3.41649592913784,2,2,2
"Up","ENSG00000282666",5.96546029216222,"8.44e-02","IGKV1-27","CHR_HG2290_PATCH","IG_V_gene",2.67586855428415,2.5137598066657,2.50331830210367,2,2,2,3.94740757811338,2,2,2.58129044769608,5.97300162386045,2.27708527360642,5.095060954029,5.0275815939825,2,2,2
"Up","ENSG00000280623",5.94030259989372,"7.32e-02","PCAT14","22q11.23","lncRNA",3.25960551560914,2.89183327351249,2,2,2.26068828249103,2,2,2,2.4470454608871,5.69024797151762,5.6884518272953,4.32858986993366,3.74299670737285,2.96637299483117,2,2,2
"Up","ENSG00000081248",5.93396341591034,"8.90e-02","CACNA1S","1q32.1","protein_coding",4.0659091460829,2,2,2,2,2,2,2.30027309215264,2.4470454608871,6.23746658826966,3.66095563470484,4.9589942652003,3.4204236264327,3.41649592913784,2,2,2
"Up","AC104667.2",5.92638686242423,"5.30e-02",NA,"NANA",NA,2.26205555421484,3.65022747346483,2,2.25235071303328,2.67278775214458,2,2,2.54868811505941,3.74893182077465,5.31199202137577,5.84859862181764,3.73516994854597,3.66886036335252,2.77858002903295,2,2,2
"Up","ENSG00000235142",5.92534342108578,"4.84e-02","LINC02532","6q21","lncRNA",4.67310962518531,4.2779538906715,3.41677511362933,2,3.75557197830282,2.29029464815903,2,2,3.4937640460329,7.38153704995715,7.38773127644715,5.68455841646457,5.53142363222732,4.26774211750473,2.52135378127656,2,2
"Up","ENSG00000186487",5.92030124569412,"5.92e-02","MYT1L","2p25.3","protein_coding",5.64993652183645,3.32030090373899,3.17146965084859,2,2,2.29029464815903,2,2,3.74893182077465,8.56650059674442,4.67934453336611,7.07075936974185,4.32881874119187,4.4039901765252,2,2,2.21349274652398
"Up","ENSG00000185274",5.87343461105375,"7.55e-02","GALNT17","7q11.22","protein_coding",3.84375041131145,2,3.97169646135579,2,2.26068828249103,2,2.96515226467177,2,2,6.03402156641797,3.66095563470484,4.65388709950961,3.32709916259568,3.41649592913784,2,2,2
"Up","ENSG00000165995",5.86013444750083,"6.35e-02","CACNB2","10p12.33","protein_coding",5.50559584471899,2.5137598066657,3.17146965084859,2.25235071303328,2.26068828249103,2.53184805551954,2,2,2,7.03368572312858,3.75637651047303,5.68455841646457,4.12210344654054,2.56263180969811,2.28410037084381,2,2
"Up","ENSG00000170929",5.84620510144481,"4.22e-02","OR1M1","19p13.2","protein_coding",3.37489409606968,3.54841104275185,2.87573304495846,2,2.84173207925936,2.53184805551954,2.96515226467177,2,2.78784292048878,5.07772225190333,5.56209538099829,3.9079196026164,3.74299670737285,3.13251281674557,2,2,2
"Up","ENSG00000187151",5.84041994709524,"5.32e-02","ANGPTL5","11q22.1","protein_coding",3.58104310308973,3.65022747346483,2,2,2.26068828249103,2.29029464815903,2,2.30027309215264,3.39758669896708,5.84770107485511,4.81850821069963,3.42972534973826,4.176624684642,2.77858002903295,2,2,2
"Up","ENSG00000186474",5.82735109833214,"5.35e-02","KLK12","19q13.41","protein_coding",3.37489409606968,3.74532958689302,2.50331830210367,2,2,2.53184805551954,3.53830925783272,2,2.4470454608871,3.99172469819306,5.56209538099829,4.55338961863293,4.59213954429702,2.56263180969811,2,2,2
"Up","ENSG00000254271",5.82555823573863,"4.90e-02","ANK3-DT","10q21.2","lncRNA",2.84538515825795,3.65022747346483,2,2.25235071303328,3.47635639444225,2.73869869445858,2,2,3.66878783167034,3.57760902443798,5.75927340511864,3.04174861177348,4.91435397961273,2.96637299483117,2,2,2
"Up","ENSG00000075429",5.8216834672046,"8.06e-02","CACNG5","17q24.2","protein_coding",4.19703174090782,2,2,2.65392136802693,2,2.53184805551954,2,2,2.24076954699737,6.23746658826966,3.19997414129679,4.65388709950961,2.41719436375412,3.53995003267867,2,2,2
"Up","AC007277.1",5.82154707631862,"4.85e-02",NA,"NANA",NA,2.67586855428415,3.19111964002649,2,2.46706319417919,2.99295015299667,2.73869869445858,2,2,3.18355605042243,5.69024797151762,5.06206666811626,4.26645586239192,3.4204236264327,3.28148059985997,2,2,2
"Up","ENSG00000113262",5.81175965944564,"9.71e-02","GRM6","5q35.3","protein_coding",4.31722353835936,2.27962952404498,2,2,2,2,2,2,2.24076954699737,5.84770107485511,3.44879915358717,5.30644596384918,3.32709916259568,3.13251281674557,2,2,2
"Up","ENSG00000162782",5.80376311181717,"6.68e-02","TDRD5","1q25.2","protein_coding",3.84375041131145,3.19111964002649,2,2,4.42145302866405,3.08028247486459,2,2,2,6.71729444222586,5.97300162386045,4.79261381503152,3.81350885706401,3.75907289273111,2,2.35967353075619,2
"Up","ENSG00000121904",5.79036132926764,"6.85e-02","CSMD2","1p35.1","protein_coding",5.37319525259546,3.19111964002649,2,2,2.67278775214458,2,2,2,2.4470454608871,7.8595099056545,4.86206484970964,6.81266599833082,4.91435397961273,4.11727199874549,2,2.35967353075619,2.21349274652398
"Up","ENSG00000288504",5.78598063293912,"4.22e-02","YBX2","CHR_HG2087_PATCH","protein_coding",4.25837893425759,3.43885970773827,2,2.25235071303328,2.99295015299667,2.53184805551954,2.96515226467177,2.30027309215264,2.24076954699737,4.89732374772934,4.81850821069963,4.79261381503152,4.00646094376747,2.56263180969811,2,2,2
"Up","AL022323.3",5.76908290603285,"5.70e-02",NA,"NANA",NA,4.95834661252148,2.71514603056515,2,2.25235071303328,2.48140256247077,2.53184805551954,2,2.30027309215264,2.24076954699737,7.0116645842106,4.15691908703721,5.61146123216047,3.59070698905857,3.65366763789285,2,2,2.21349274652398
"Up","ENSG00000123572",5.76325572536928,"8.26e-02","NRK","Xq22.3","protein_coding",3.4816475915303,3.04922343122273,2,2,2.26068828249103,2,2,2.30027309215264,2,5.74466418781583,4.00976383386581,5.33699800000622,3.59070698905857,2.3085712000615,2,2,2
"Up","ENSG00000119547",5.76307198256598,"9.88e-02","ONECUT2","18q21.31","protein_coding",4.92089178558102,2,2,2,2,2,2.96515226467177,2.30027309215264,2,7.09780145689252,3.05736681705879,5.53446183173447,3.94496696857019,4.0357108280482,2,2,2.21349274652398
"Up","ENSG00000250334",5.76190076310904,"7.30e-02","LINC00989","4q21.21","lncRNA",3.84375041131145,2.27962952404498,2.50331830210367,2,2,2.53184805551954,2.96515226467177,2,2,6.15949648004918,3.44879915358717,4.32858986993366,3.4204236264327,3.28148059985997,2,2,2
"Up","ENSG00000232021",5.74522875970133,"6.65e-02","LEF1-AS1","4q25","lncRNA",4.13295960267193,2.5137598066657,2,2,2.26068828249103,2.73869869445858,2,2,2.4470454608871,5.89658520194526,3.93014575339394,4.70162696879682,3.50807619939805,2.77858002903295,2,2,2
"Up","ENSG00000115665",5.74517956056188,"7.67e-02","SLC5A7","2q12.3","protein_coding",3.25960551560914,2.5137598066657,2,2,2.67278775214458,2.53184805551954,2,2,2,6.23746658826966,3.66095563470484,3.9079196026164,3.94496696857019,3.28148059985997,2,2,2
"Up","AC005740.5",5.74488940438402,"7.08e-02",NA,"NANA",NA,2.67586855428415,2.5137598066657,2.50331830210367,2,2.67278775214458,2.29029464815903,2,2,2.93214729939327,6.03402156641797,4.62980471937431,4.44536383967442,3.4204236264327,2,2,2,2
"Up","ENSG00000248329",5.74437304360076,"8.97e-02","APELA","4q32.3","protein_coding",2.84538515825795,3.54841104275185,2,2,2,2.29029464815903,2.96515226467177,2,2,5.07772225190333,4.15691908703721,2.50943090095415,5.91492649003065,2.3085712000615,2,2,2
"Up","ENSG00000236671",5.74044146306376,"8.38e-02","PRKG1-AS1","10q21.1","lncRNA",3.4816475915303,2.27962952404498,2,2,2.26068828249103,2,2,2,2.78784292048878,6.79670650357788,6.30827751378313,4.55338961863293,4.00646094376747,3.13251281674557,2.28410037084381,2,2
"Up","ENSG00000143194",5.73888859516787,"7.46e-02","MAEL","1q24.1","protein_coding",3.58104310308973,2.27962952404498,2.50331830210367,2,2,2,2,2.54868811505941,2.4470454608871,6.2749263378517,3.44879915358717,4.20152495814125,2.41719436375412,3.75907289273111,2,2,2
"Up","ENSG00000215160",5.72439755805544,"2.87e-02","OR7E122P","3p25.3","transcribed_unprocessed_pseudogene",4.25837893425759,6.47082508093139,2.87573304495846,2.46706319417919,4.95115965992678,4.89991230920091,2,2,6.9442089109182,6.6041179738019,8.17269408690931,4.91916323197049,7.22431463789748,5.10959078416753,2.90350334418611,2,2
"Up","ENSG00000265158",5.7159731271467,"6.13e-02","LRRC37A7P","18q12.1","transcribed_processed_pseudogene",3.13429753631896,3.32030090373899,2,2.25235071303328,2.26068828249103,2.29029464815903,2,2,3.18355605042243,4.79789354986234,5.84859862181764,2.50943090095415,4.32881874119187,2.56263180969811,2,2,2
"Up","ENSG00000186732",5.69571798784406,"7.55e-02","MPPED1","22q13.2","protein_coding",4.13295960267193,2.5137598066657,2.50331830210367,2,2.67278775214458,2,2,2,2,5.63369853551754,3.66095563470484,4.44536383967442,4.37617989213747,3.41649592913784,2,2,2
"Up","ENSG00000233964",5.69345462360305,"5.17e-02","HLA-K","CHR_HSCHR6_MHC_APD_CTG1","unprocessed_pseudogene",5.67264929028601,3.54841104275185,3.62636927522772,2,2,5.62846921357123,3.53830925783272,2,3.18355605042243,3.31531165517046,4.5253097655297,3.42972534973826,6.0080716687809,3.53995003267867,2,2.35967353075619,2
"Up","AL158055.1",5.69282870785514,"6.51e-02",NA,"NANA",NA,3.67402985456735,2.27962952404498,2.50331830210367,2.46706319417919,2,2.29029464815903,2,2.30027309215264,2,6.03402156641797,3.84587581432371,4.44536383967442,3.50807619939805,2.96637299483117,2,2,2
"Up","ENSG00000165495",5.68879790023195,"5.93e-02","PKNOX2","11q24.2","protein_coding",4.19703174090782,2.71514603056515,4.11761552266629,2,2.67278775214458,2.29029464815903,3.94740757811338,2,2,6.84731892675836,4.08521688171898,5.45311997148596,3.74299670737285,3.28148059985997,2.28410037084381,2,2
"Up","ENSG00000272281",5.68240841705676,"8.85e-02","TPTE2P2","13q14.3","transcribed_unprocessed_pseudogene",3.37489409606968,2,2,2.25235071303328,2,2.29029464815903,2,2,2.24076954699737,6.2749263378517,3.55877373681261,3.73516994854597,3.66886036335252,3.41649592913784,2,2,2
"Up","AC018557.3",5.6822778123819,"5.32e-02",NA,"NANA",NA,3.76138446399819,3.54841104275185,3.17146965084859,2,2.84173207925936,2.91957656532484,2,2,3.82485701756484,2.99448840961288,5.71244739122164,2.50943090095415,4.42203555122283,2.3085712000615,2,2,2
"Up","ENSG00000168491",5.68052765628983,"5.50e-02","CCDC110","4q35.1","protein_coding",3.13429753631896,4.51233531153081,2,2.25235071303328,3.25480622776968,2.73869869445858,2,2,3.66878783167034,5.63369853551754,6.64391835956282,3.64036309417449,4.88190647332062,2.77858002903295,2.28410037084381,2,2
"Up","ENSG00000135333",5.67920686821955,"5.05e-02","EPHA7","6q16.1","protein_coding",3.92166683266627,3.54841104275185,2.50331830210367,2,2.84173207925936,3.22486764203519,2,2.30027309215264,2.62748389653321,6.68982174894947,4.41265105111537,4.91916323197049,5.35353858251001,3.75907289273111,2,2,2.21349274652398
"Up","ENSG00000164093",5.6694314675935,"9.32e-02","PITX2","4q25","protein_coding",4.19703174090782,2,2,2,2,2,3.53830925783272,2,2.4470454608871,5.31199202137577,3.93014575339394,5.07228588384362,3.22731766755965,3.53995003267867,2,2,2
